id,type,age_group,gender,daily_internet_hours,primary_activity,uses_facebook,num_social_media_accounts,exposed_to_bad_language,learned_bad_words,experienced_cyberbullying,cyberbullying_types,reported_incident,reported_to,mental_health_impact,received_school_education,awareness_level,impact_certainty
S0021,Student,9-12,Female,1,Social Media,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0022,Student,13-17,Male,2,Social Media,True,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0023,Student,13-17,Male,4,Gaming,True,1,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0024,Student,13-17,Male,8,Videos,True,1,True,False,True,Defamation,True,Friend,None,True,Medium,Unsure
S0025,Student,13-17,Male,4,Studying,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0026,Student,13-17,Male,4,Chatting,True,1,True,False,True,Insults; Exclusion,False,None,None,False,Low,Certain
S0027,Student,13-17,Female,5,Videos,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0028,Student,13-17,Male,5,Chatting,True,1,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0029,Student,13-17,Female,1,Social Media,True,1,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0030,Student,9-12,Female,4,Studying,True,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0031,Student,13-17,Female,4,Videos,False,2,True,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0032,Student,13-17,Male,4,Chatting,True,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0033,Student,9-12,Male,0,Social Media,True,3,True,True,True,Insults; Defamation; Threats,True,Family,Depression,False,Low,Certain
S0034,Student,13-17,Male,1,Videos,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0035,Student,13-17,Female,1,Videos,True,4,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0036,Student,13-17,Male,1,Studying,True,3,True,True,True,Insults; Threats,True,Friend,None,False,Low,Unsure
S0037,Student,9-12,Female,1,Studying,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0038,Student,13-17,Female,1,Chatting,True,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0039,Student,13-17,Female,8,Studying,True,1,True,False,True,Insults,True,School Counselor,None,True,High,Certain
S0040,Student,13-17,Female,4,Videos,True,3,True,True,True,Insults,True,Family,Insomnia,True,Medium,Unsure
S0041,Student,13-17,Female,2,Gaming,True,1,False,False,True,Insults; Defamation,True,Family,Insomnia; Anxiety,True,High,Certain
S0042,Student,13-17,Male,7,Studying,True,1,True,True,True,Exclusion,False,None,Insomnia; Academic Decline,True,Medium,Unsure
S0043,Student,13-17,Female,8,Social Media,False,1,True,False,True,None,False,None,None,True,Medium,Unsure
S0044,Student,9-12,Male,1,Gaming,False,4,True,True,True,Insults,True,Family,Insomnia; Academic Decline,True,High,Certain
S0045,Student,13-17,Female,1,Studying,True,3,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0046,Student,13-17,Female,5,Social Media,True,1,False,False,True,None,False,None,Anxiety,False,Low,Unsure
S0047,Student,13-17,Male,8,Chatting,True,1,False,False,True,Insults; Defamation; Threats,False,None,Anxiety,True,Medium,Certain
S0048,Student,13-17,Female,8,Studying,True,1,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0049,Student,13-17,Female,5,Gaming,True,1,True,False,True,None,False,None,Insomnia,False,Low,Unsure
S0050,Student,9-12,Male,0,Chatting,True,4,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0051,Student,9-12,Male,3,Social Media,True,1,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0052,Student,9-12,Male,1,Social Media,True,1,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0053,Student,13-17,Male,7,Social Media,True,4,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0054,Student,13-17,Female,1,Gaming,True,1,True,False,True,Insults; Exclusion,False,None,Academic Decline; Loss of Appetite,True,Medium,Certain
S0055,Student,13-17,Male,6,Videos,True,1,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0056,Student,13-17,Male,4,Social Media,False,3,True,False,True,Insults; Defamation; Exclusion,True,Friend,None,True,Medium,Certain
S0057,Student,13-17,Male,7,Gaming,False,1,True,False,True,Threats,False,None,Academic Decline; Depression,True,High,Certain
S0058,Student,13-17,Female,1,Studying,True,1,False,False,True,Insults; Defamation,False,None,Academic Decline,False,Medium,Unsure
S0059,Student,13-17,Female,2,Videos,True,2,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0060,Student,13-17,Female,5,Social Media,True,4,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0061,Student,13-17,Female,4,Chatting,True,1,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0062,Student,9-12,Male,4,Gaming,False,3,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0063,Student,13-17,Male,3,Videos,True,1,True,False,True,Exclusion,True,Family,Depression,True,High,Unsure
S0064,Student,13-17,Male,5,Chatting,True,1,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0065,Student,13-17,Male,4,Videos,True,1,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0066,Student,13-17,Female,1,Studying,False,1,False,False,True,Defamation,False,None,None,True,Medium,Unsure
S0067,Student,13-17,Male,4,Chatting,False,4,True,False,True,Exclusion,False,None,Depression,False,Low,Certain
S0068,Student,9-12,Female,1,Studying,True,1,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0069,Student,9-12,Female,1,Gaming,True,2,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0070,Student,13-17,Female,4,Gaming,False,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0071,Student,13-17,Female,8,Studying,True,1,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0072,Student,13-17,Male,4,Studying,True,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0073,Student,9-12,Female,1,Chatting,False,4,False,False,True,Exclusion,True,Teacher,Insomnia; Depression,True,Medium,Unsure
S0074,Student,13-17,Male,3,Studying,True,1,False,False,True,None,False,None,Insomnia; Anxiety,False,Medium,Certain
S0075,Student,13-17,Male,5,Videos,True,1,True,True,True,Defamation; Sexual Harassment,True,Friend,None,False,Medium,Unsure
S0076,Student,13-17,Male,4,Social Media,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0077,Student,13-17,Female,5,Videos,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0078,Student,9-12,Female,4,Gaming,True,1,False,False,True,Insults,True,Friend,None,True,Medium,Certain
S0079,Student,9-12,Male,1,Chatting,True,3,True,False,True,Threats,True,School Counselor,Insomnia; Academic Decline; Anxiety,True,High,Certain
S0080,Student,9-12,Female,1,Chatting,True,3,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0081,Student,9-12,Female,3,Videos,True,3,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0082,Student,13-17,Male,2,Gaming,True,1,True,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0083,Student,9-12,Female,1,Social Media,True,1,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0084,Student,13-17,Female,5,Gaming,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0085,Student,9-12,Female,3,Social Media,True,1,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0086,Student,13-17,Male,4,Social Media,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0087,Student,13-17,Female,6,Videos,True,1,True,False,True,None,True,Family,Insomnia,False,Medium,Unsure
S0088,Student,13-17,Female,3,Chatting,True,2,True,True,False,None,N/A,None,None,True,Medium,Not Applicable
S0089,Student,13-17,Female,1,Videos,True,1,False,False,True,Insults; Defamation,False,None,None,True,Medium,Unsure
S0090,Student,9-12,Female,3,Videos,False,2,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0091,Student,13-17,Female,2,Videos,True,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0092,Student,9-12,Female,1,Studying,True,1,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0093,Student,13-17,Male,2,Studying,True,1,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0094,Student,9-12,Male,1,Chatting,True,1,False,False,True,Defamation,False,None,None,False,Low,Certain
S0095,Student,13-17,Male,4,Videos,True,1,True,False,True,Insults; Defamation,False,None,None,False,Low,Unsure
S0096,Student,13-17,Female,8,Social Media,True,1,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0097,Student,13-17,Male,4,Social Media,False,2,True,True,True,None,False,None,Insomnia,False,Medium,Certain
S0098,Student,13-17,Female,4,Studying,True,1,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0099,Student,13-17,Male,2,Videos,True,2,False,False,True,Insults,True,School Counselor,Anxiety,True,Medium,Unsure
S0100,Student,9-12,Male,1,Chatting,True,4,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0101,Student,13-17,Female,6,Videos,True,1,True,False,True,Insults,False,None,Insomnia,True,High,Unsure
S0102,Student,13-17,Female,3,Videos,True,1,False,False,True,Insults; Defamation; Exclusion,False,None,Anxiety,False,Low,Unsure
S0103,Student,13-17,Female,4,Chatting,True,1,True,True,True,Defamation,False,None,Insomnia; Academic Decline,False,Medium,Unsure
S0104,Student,9-12,Female,1,Videos,True,2,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0105,Student,13-17,Female,1,Social Media,True,1,True,False,True,None,True,Family,Insomnia; Academic Decline,False,Low,Unsure
S0106,Student,9-12,Male,4,Videos,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0107,Student,9-12,Female,1,Social Media,True,1,True,True,False,None,N/A,None,None,True,Medium,Not Applicable
S0108,Student,13-17,Female,8,Gaming,True,3,False,False,True,Exclusion; Threats,True,Teacher,Insomnia,True,Medium,Unsure
S0109,Student,13-17,Female,8,Social Media,True,1,True,False,True,Insults; Defamation,True,Friend,Insomnia; Depression,True,High,Unsure
S0110,Student,9-12,Female,1,Social Media,True,1,True,True,True,Defamation,False,None,Anxiety,False,Low,Certain
S0111,Student,9-12,Female,0,Videos,True,1,True,True,True,Threats,False,None,Academic Decline; Depression,False,Medium,Unsure
S0112,Student,13-17,Female,7,Gaming,False,1,False,False,True,Insults; Threats,True,School Counselor,None,True,High,Unsure
S0113,Student,9-12,Female,0,Studying,True,4,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0114,Student,13-17,Male,4,Studying,True,1,True,True,False,None,N/A,None,None,False,Medium,Not Applicable
S0115,Student,9-12,Female,1,Gaming,True,4,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0116,Student,9-12,Male,1,Social Media,True,3,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0117,Student,9-12,Male,2,Gaming,True,1,True,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0118,Student,9-12,Female,1,Videos,True,1,True,True,False,None,N/A,None,None,False,Medium,Not Applicable
S0119,Student,13-17,Male,5,Videos,True,1,True,True,False,None,N/A,None,None,False,Medium,Not Applicable
S0120,Student,13-17,Female,2,Chatting,False,1,True,True,True,None,False,None,Loss of Appetite,False,Low,Certain
S0121,Student,9-12,Male,2,Gaming,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0122,Student,13-17,Female,1,Gaming,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0123,Student,13-17,Female,4,Studying,True,4,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0124,Student,13-17,Male,3,Social Media,True,1,True,True,True,Insults; Defamation; Exclusion,False,None,Insomnia,False,Medium,Certain
S0125,Student,13-17,Female,7,Studying,False,1,True,True,True,Insults; Defamation; Sexual Harassment,True,Friend,Insomnia; Academic Decline,True,Medium,Unsure
S0126,Student,13-17,Female,7,Gaming,True,1,True,False,True,Insults; Exclusion,False,None,Academic Decline,False,Medium,Certain
S0127,Student,9-12,Male,1,Videos,True,1,True,True,True,Insults,True,Friend,None,True,Medium,Unsure
S0128,Student,9-12,Male,1,Studying,True,1,False,False,True,Defamation,False,None,None,False,Medium,Unsure
S0129,Student,13-17,Female,8,Chatting,True,1,True,False,True,Insults; Defamation,True,Teacher,None,True,Medium,Certain
S0130,Student,9-12,Female,3,Studying,True,1,False,False,True,None,True,Family,Insomnia,False,Low,Certain
S0131,Student,9-12,Male,1,Videos,False,1,False,False,True,Defamation; Exclusion; Threats,False,None,Anxiety,True,High,Unsure
S0132,Student,13-17,Female,1,Gaming,False,1,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0133,Student,9-12,Female,1,Videos,True,1,False,False,True,Defamation,False,None,Academic Decline; Depression,True,Medium,Unsure
S0134,Student,9-12,Male,4,Gaming,True,1,True,True,True,Insults,False,None,None,False,Medium,Unsure
S0135,Student,13-17,Male,3,Gaming,False,2,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0136,Student,13-17,Male,3,Chatting,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0137,Student,13-17,Female,8,Videos,True,2,True,False,True,Insults; Defamation; Sexual Harassment,False,None,None,True,High,Certain
S0138,Student,9-12,Female,2,Studying,True,1,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0139,Student,9-12,Male,4,Chatting,True,1,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0140,Student,13-17,Female,3,Social Media,True,1,False,False,True,Insults,True,Family,Depression,True,Medium,Unsure
S0141,Student,13-17,Female,6,Gaming,True,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0142,Student,9-12,Female,1,Videos,True,1,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0143,Student,13-17,Female,3,Chatting,True,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0144,Student,13-17,Female,1,Videos,True,2,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0145,Student,9-12,Male,0,Social Media,True,3,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0146,Student,13-17,Male,5,Gaming,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0147,Student,13-17,Female,4,Chatting,True,3,True,False,True,Insults; Defamation; Exclusion,True,Family,None,False,Medium,Unsure
S0148,Student,13-17,Female,4,Videos,True,1,True,True,True,Insults; Exclusion; Sexual Harassment,True,Friend,None,True,Medium,Certain
S0149,Student,13-17,Female,5,Social Media,True,1,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0150,Student,13-17,Female,7,Chatting,True,3,True,True,True,Defamation; Exclusion; Threats,True,Friend,Insomnia; Academic Decline; Anxiety,True,Medium,Unsure
S0151,Student,13-17,Male,1,Videos,True,1,True,True,True,Insults; Defamation,False,None,Loss of Appetite,True,Medium,Unsure
S0152,Student,13-17,Male,8,Gaming,True,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0153,Student,13-17,Male,8,Social Media,True,1,False,False,True,Insults; Sexual Harassment,False,None,Academic Decline; Loss of Appetite,False,Low,Certain
S0154,Student,9-12,Male,3,Studying,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0155,Student,13-17,Male,3,Studying,True,1,True,False,True,Defamation; Exclusion,True,Teacher,None,True,Medium,Certain
S0156,Student,9-12,Male,4,Videos,True,1,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0157,Student,9-12,Male,2,Gaming,True,1,False,False,True,None,False,None,Academic Decline; Anxiety,True,Medium,Unsure
S0158,Student,13-17,Male,4,Studying,True,3,True,True,True,Exclusion; Threats,True,School Counselor,None,True,High,Unsure
S0159,Student,9-12,Male,1,Videos,True,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0160,Student,13-17,Female,2,Studying,True,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0161,Student,13-17,Female,5,Studying,True,1,True,True,True,Insults,False,None,Anxiety,False,Medium,Certain
S0162,Student,13-17,Male,3,Videos,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0163,Student,13-17,Female,4,Studying,True,4,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0164,Student,13-17,Female,6,Gaming,True,2,True,True,False,None,N/A,None,None,False,Medium,Not Applicable
S0165,Student,13-17,Male,4,Videos,True,1,False,False,True,None,False,None,Insomnia; Academic Decline,False,Low,Certain
S0166,Student,9-12,Male,3,Videos,True,3,False,False,True,Defamation,False,None,Academic Decline,True,High,Unsure
S0167,Student,13-17,Female,4,Social Media,True,3,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0168,Student,13-17,Female,8,Chatting,True,1,True,True,True,Insults; Sexual Harassment,False,None,None,True,High,Certain
S0169,Student,13-17,Female,7,Studying,True,1,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0170,Student,13-17,Female,3,Studying,True,1,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0171,Student,9-12,Male,2,Social Media,True,3,True,True,True,Defamation; Exclusion,False,None,Insomnia; Anxiety,False,Low,Certain
S0172,Student,13-17,Female,8,Social Media,True,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0173,Student,13-17,Female,4,Gaming,False,1,True,True,False,None,N/A,None,None,True,Medium,Not Applicable
S0174,Student,9-12,Female,1,Videos,False,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0175,Student,13-17,Female,6,Chatting,True,1,False,False,True,Insults; Defamation,False,None,Insomnia; Loss of Appetite,True,High,Unsure
S0176,Student,13-17,Female,2,Gaming,False,1,True,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0177,Student,13-17,Male,2,Chatting,True,2,True,False,True,Insults; Exclusion,True,Friend,Academic Decline,False,Low,Unsure
S0178,Student,13-17,Male,5,Videos,True,1,True,False,True,Insults; Defamation,True,School Counselor,Insomnia; Anxiety,True,Medium,Certain
S0179,Student,13-17,Male,4,Chatting,True,4,False,False,True,Insults; Threats,False,None,Insomnia; Academic Decline; Depression,True,Medium,Unsure
S0180,Student,13-17,Male,3,Studying,True,2,True,True,True,Insults,False,None,Insomnia; Loss of Appetite,True,Medium,Certain
S0181,Student,13-17,Female,7,Social Media,True,2,True,False,True,Insults,True,Family,Insomnia; Academic Decline; Loss of Appetite,True,High,Unsure
S0182,Student,13-17,Male,3,Chatting,True,1,False,False,True,Insults; Defamation,True,School Counselor,Insomnia; Loss of Appetite,False,Low,Certain
S0183,Student,13-17,Male,8,Gaming,True,3,True,True,True,Defamation,False,None,Academic Decline,False,Medium,Certain
S0184,Student,9-12,Male,3,Videos,True,1,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0185,Student,13-17,Female,8,Gaming,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0186,Student,9-12,Female,0,Videos,True,1,False,False,True,Insults; Exclusion,False,None,Academic Decline,True,High,Unsure
S0187,Student,13-17,Female,5,Studying,True,2,False,False,True,Insults; Threats,False,None,None,False,Low,Unsure
S0188,Student,9-12,Female,1,Studying,True,4,False,False,True,Insults,True,School Counselor,None,False,Low,Unsure
S0189,Student,13-17,Female,2,Gaming,True,2,True,True,True,Defamation,True,School Counselor,Insomnia; Anxiety,True,High,Unsure
S0190,Student,9-12,Female,1,Studying,True,1,False,False,True,None,False,None,Academic Decline,False,Medium,Unsure
S0191,Student,13-17,Male,1,Social Media,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0192,Student,13-17,Male,4,Social Media,True,4,True,False,True,Insults; Defamation,True,School Counselor,Insomnia; Academic Decline; Anxiety,False,Medium,Certain
S0193,Student,13-17,Male,3,Videos,True,1,False,False,True,Defamation,True,School Counselor,None,True,Medium,Unsure
S0194,Student,9-12,Female,0,Videos,True,3,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0195,Student,13-17,Female,1,Videos,True,1,True,False,True,None,False,None,None,False,Low,Unsure
S0196,Student,9-12,Female,3,Gaming,True,1,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0197,Student,13-17,Male,3,Studying,True,1,True,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0198,Student,13-17,Female,5,Chatting,True,1,False,False,True,Insults; Defamation; Exclusion,True,Teacher,Academic Decline,False,Low,Unsure
S0199,Student,13-17,Female,4,Videos,True,1,False,False,True,Insults; Defamation,True,Friend,Academic Decline,False,Low,Certain
S0200,Student,13-17,Female,2,Videos,True,3,True,True,True,Insults; Sexual Harassment,True,Friend,Anxiety,True,Medium,Certain
S0201,Student,13-17,Male,3,Studying,True,4,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0202,Student,13-17,Female,6,Videos,True,1,True,False,True,Insults,True,Teacher,None,False,Medium,Unsure
S0203,Student,13-17,Male,4,Gaming,False,1,True,True,True,Defamation,False,None,Depression; Anxiety,True,High,Unsure
S0204,Student,9-12,Female,2,Social Media,True,1,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0205,Student,13-17,Male,6,Chatting,True,4,False,False,True,None,True,Family,None,True,Medium,Certain
S0206,Student,9-12,Female,1,Social Media,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0207,Student,13-17,Male,3,Gaming,True,1,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0208,Student,13-17,Female,6,Videos,False,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0209,Student,13-17,Male,2,Gaming,True,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0210,Student,9-12,Male,3,Social Media,True,1,True,False,True,Defamation; Exclusion,True,School Counselor,None,False,Medium,Certain
S0211,Student,13-17,Male,7,Videos,True,4,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0212,Student,13-17,Male,4,Gaming,True,2,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0213,Student,13-17,Female,8,Social Media,True,1,False,False,True,Insults; Defamation; Exclusion,True,Friend,Insomnia,True,Medium,Unsure
S0214,Student,13-17,Female,7,Studying,True,1,False,False,True,Insults; Exclusion,True,Teacher,Insomnia,False,Low,Unsure
S0215,Student,9-12,Female,3,Chatting,True,1,True,False,True,Insults; Defamation,False,None,Academic Decline; Depression; Anxiety,False,Low,Unsure
S0216,Student,13-17,Female,4,Social Media,True,1,True,False,True,Defamation,False,None,None,False,Low,Certain
S0217,Student,9-12,Female,0,Gaming,True,3,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0218,Student,13-17,Male,5,Gaming,True,1,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0219,Student,13-17,Female,5,Social Media,True,2,False,False,False,None,N/A,None,None,True,Medium,Not Applicable
S0220,Student,13-17,Female,8,Chatting,True,4,True,True,True,Insults,True,Friend,None,False,Low,Certain
S0221,Student,13-17,Female,3,Social Media,True,1,False,False,True,Defamation,False,None,Academic Decline,False,Medium,Certain
S0222,Student,13-17,Male,6,Gaming,True,1,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0223,Student,13-17,Female,3,Chatting,True,1,True,True,True,Insults,True,Friend,None,False,Medium,Certain
S0224,Student,13-17,Male,2,Social Media,True,4,False,False,True,None,True,Teacher,Insomnia; Academic Decline,True,Medium,Unsure
S0225,Student,9-12,Female,1,Studying,True,4,False,False,True,Insults; Defamation,True,Teacher,None,True,Medium,Unsure
S0226,Student,13-17,Female,2,Videos,True,1,True,False,True,Insults; Defamation; Exclusion; Threats,False,None,None,False,Low,Certain
S0227,Student,13-17,Female,6,Videos,True,2,True,True,False,None,N/A,None,None,True,High,Not Applicable
S0228,Student,13-17,Male,3,Gaming,True,3,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0229,Student,13-17,Male,5,Videos,True,4,True,False,True,Insults,False,None,None,True,Medium,Unsure
S0230,Student,13-17,Female,3,Videos,True,1,False,False,True,Insults; Defamation; Threats,False,None,None,True,High,Certain
S0231,Student,9-12,Female,3,Gaming,True,1,False,False,True,Exclusion,True,Teacher,Insomnia; Academic Decline,False,Medium,Unsure
S0232,Student,9-12,Female,0,Videos,True,1,False,False,True,Insults,False,None,Insomnia,True,Medium,Certain
S0233,Student,13-17,Female,3,Videos,True,3,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0234,Student,9-12,Male,2,Social Media,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0235,Student,13-17,Female,6,Chatting,True,1,True,False,True,Threats,True,Teacher,None,True,Medium,Unsure
S0236,Student,13-17,Male,5,Chatting,True,3,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0237,Student,9-12,Female,1,Studying,False,2,True,False,False,None,N/A,None,None,False,Low,Not Applicable
S0238,Student,9-12,Female,0,Social Media,False,1,True,False,True,Defamation; Threats,True,Friend,Insomnia; Academic Decline; Loss of Appetite,True,Medium,Unsure
S0239,Student,13-17,Male,5,Videos,True,1,False,False,True,Exclusion,False,None,None,True,Medium,Unsure
S0240,Student,13-17,Male,8,Social Media,True,1,True,True,True,Insults,True,School Counselor,Depression; Anxiety,True,High,Certain
S0241,Student,13-17,Male,1,Videos,True,2,False,False,True,Insults,True,Teacher,Loss of Appetite,False,Medium,Certain
S0242,Student,13-17,Female,5,Studying,True,1,True,True,True,Defamation; Exclusion,False,None,Insomnia; Academic Decline; Anxiety; Loss of Appetite,True,Medium,Unsure
S0243,Student,13-17,Male,8,Videos,True,1,True,False,True,Insults; Sexual Harassment,True,Friend,None,False,Low,Certain
S0244,Student,13-17,Male,4,Videos,True,1,True,False,True,Exclusion,False,None,None,False,Low,Unsure
