id,type,age_group,internet_control,knows_facebook_age_req,aware_of_child_cyberbullying,concerns_about_device_use,digital_literacy,communicates_about_safety,child_age_group
P0026,Parent,35-44,Yes,True,No,Academic Performance; Eating Disorders,High,False,13-17
P0027,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,True,9-12
P0028,Parent,35-44,Want to but struggle,True,Yes,Academic Performance; Eating Disorders,Low,False,9-12
P0029,Parent,45-54,Want to but struggle,False,No,Eating Disorders,Medium,True,13-17
P0030,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Low,True,13-17
P0031,Parent,35-44,Yes,False,No,Academic Performance,Low,True,13-17
P0032,Parent,35-44,Yes,True,No,Depression,Medium,True,13-17
P0033,Parent,45-54,Yes,False,No,Academic Performance,Low,True,13-17
P0034,Parent,45-54,No,False,Unsure,Academic Performance; Depression; Eating Disorders,Medium,False,13-17
P0035,Parent,45-54,No,False,Unsure,Insomnia,Medium,True,13-17
P0036,Parent,35-44,No,True,No,Insomnia,Medium,False,13-17
P0037,Parent,35-44,No,True,Unsure,Insomnia,Low,False,13-17
P0038,Parent,35-44,Yes,False,No,Insomnia; Aggression,Low,True,13-17
P0039,Parent,25-34,Yes,True,Unsure,None,Medium,False,13-17
P0040,Parent,35-44,Yes,True,Yes,Eating Disorders; Aggression,Medium,True,13-17
P0041,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,Medium,True,9-12
P0042,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance; Eating Disorders,Low,False,13-17
P0043,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression,Low,True,9-12
P0044,Parent,25-34,Yes,True,No,Insomnia; Academic Performance; Eating Disorders,Medium,True,13-17
P0045,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,High,False,13-17
P0046,Parent,35-44,Want to but struggle,True,Yes,Eating Disorders,Medium,True,13-17
P0047,Parent,35-44,Yes,False,Unsure,Insomnia; Academic Performance,Medium,False,13-17
P0048,Parent,25-34,Yes,True,Unsure,None,Medium,False,13-17
P0049,Parent,35-44,Yes,True,No,Depression,High,True,13-17
P0050,Parent,45-54,Want to but struggle,False,No,Academic Performance; Depression,Medium,True,9-12
P0051,Parent,45-54,Yes,True,No,Academic Performance; Depression,Medium,True,13-17
P0052,Parent,45-54,Yes,False,No,None,Low,False,13-17
P0053,Parent,35-44,Yes,True,Unsure,Eating Disorders; Aggression,Medium,False,13-17
P0054,Parent,45-54,No,True,Unsure,Academic Performance,Low,True,9-12
P0055,Parent,25-34,Want to but struggle,True,No,None,Low,False,13-17
P0056,Parent,35-44,Want to but struggle,False,Unsure,Insomnia; Academic Performance,Medium,True,9-12
P0057,Parent,35-44,Want to but struggle,True,No,None,Medium,True,9-12
P0058,Parent,35-44,Want to but struggle,True,No,Eating Disorders,Low,True,13-17
P0059,Parent,45-54,Yes,False,Unsure,Insomnia; Academic Performance; Depression,Low,True,13-17
P0060,Parent,35-44,Yes,False,Unsure,Insomnia,Low,True,13-17
P0061,Parent,35-44,Want to but struggle,True,Unsure,Depression,Medium,True,13-17
P0062,Parent,35-44,Yes,True,No,Academic Performance,High,False,9-12
P0063,Parent,35-44,Yes,False,Unsure,None,Medium,False,13-17
P0064,Parent,35-44,Yes,True,Unsure,None,High,True,13-17
P0065,Parent,45-54,Want to but struggle,False,Unsure,Insomnia,Low,True,13-17
P0066,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,Medium,True,13-17
P0067,Parent,25-34,Yes,False,No,Academic Performance,Low,False,9-12
P0068,Parent,35-44,Want to but struggle,False,No,Academic Performance,Low,True,9-12
P0069,Parent,35-44,Yes,True,No,Insomnia; Eating Disorders,High,True,13-17
P0070,Parent,45-54,Yes,False,No,None,Low,False,13-17
P0071,Parent,25-34,Yes,False,No,None,Low,False,9-12
P0072,Parent,35-44,Yes,False,Unsure,None,Low,False,9-12
P0073,Parent,35-44,Yes,True,No,Depression; Eating Disorders,Medium,False,13-17
P0074,Parent,45-54,Yes,True,Unsure,Eating Disorders,Medium,True,13-17
P0075,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression; Aggression,Low,True,9-12
P0076,Parent,35-44,Yes,False,No,Eating Disorders,Medium,True,13-17
P0077,Parent,35-44,Yes,False,Unsure,Insomnia,Low,False,13-17
P0078,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance,Medium,True,13-17
P0079,Parent,35-44,Yes,False,No,Academic Performance,Low,True,13-17
P0080,Parent,45-54,Want to but struggle,False,Unsure,Aggression,Low,False,9-12
P0081,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,False,13-17
P0082,Parent,45-54,Yes,True,No,Insomnia; Eating Disorders,High,False,9-12
P0083,Parent,45-54,Yes,False,No,Insomnia; Academic Performance,Low,True,13-17
P0084,Parent,35-44,No,False,Unsure,Insomnia; Academic Performance; Eating Disorders,Medium,True,13-17
P0085,Parent,25-34,Yes,True,No,Academic Performance,High,False,13-17
P0086,Parent,35-44,Yes,True,No,Academic Performance,High,True,9-12
P0087,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P0088,Parent,45-54,Yes,True,No,Academic Performance; Eating Disorders; Aggression,High,False,13-17
P0089,Parent,45-54,Want to but struggle,False,No,None,Medium,False,13-17
P0090,Parent,45-54,Want to but struggle,True,No,Insomnia; Depression,Medium,True,9-12
P0091,Parent,35-44,Yes,True,No,Academic Performance; Eating Disorders,High,False,9-12
P0092,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression,Low,True,13-17
P0093,Parent,25-34,Want to but struggle,True,No,None,Low,False,9-12
P0094,Parent,25-34,Want to but struggle,True,Unsure,Insomnia; Depression,Low,False,13-17
P0095,Parent,35-44,Yes,False,Yes,Eating Disorders,Low,False,13-17
P0096,Parent,25-34,Yes,False,No,None,Medium,False,13-17
P0097,Parent,45-54,Want to but struggle,False,Unsure,Insomnia; Depression,Low,True,9-12
P0098,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P0099,Parent,45-54,Yes,False,No,Academic Performance; Depression; Eating Disorders,Low,False,13-17
P0100,Parent,45-54,Want to but struggle,False,Unsure,None,Low,True,13-17
P0101,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance; Aggression,Low,False,13-17
P0102,Parent,35-44,Want to but struggle,True,No,Insomnia,Medium,True,13-17
P0103,Parent,35-44,Yes,True,No,None,Medium,True,13-17
P0104,Parent,35-44,Want to but struggle,False,No,Depression,Low,False,13-17
P0105,Parent,35-44,No,False,No,Eating Disorders,Low,False,13-17
P0106,Parent,35-44,Yes,True,Unsure,Academic Performance; Depression; Aggression,Medium,True,9-12
P0107,Parent,35-44,Yes,True,No,Academic Performance; Depression,Medium,False,13-17
P0108,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,True,13-17
P0109,Parent,35-44,Yes,True,Unsure,Insomnia,Medium,True,13-17
P0110,Parent,35-44,No,True,No,None,Medium,False,9-12
P0111,Parent,45-54,Yes,True,No,Eating Disorders,Medium,False,13-17
P0112,Parent,45-54,Want to but struggle,True,Unsure,None,Low,False,13-17
P0113,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Low,False,9-12
P0114,Parent,45-54,Yes,False,No,Academic Performance,Medium,False,13-17
P0115,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P0116,Parent,25-34,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P0117,Parent,45-54,Yes,True,Unsure,None,Medium,True,9-12
P0118,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,False,13-17
P0119,Parent,45-54,Want to but struggle,False,No,Academic Performance; Depression,Medium,False,13-17
P0120,Parent,45-54,Yes,False,No,Insomnia,Low,False,13-17
P0121,Parent,55+,Yes,False,Yes,Insomnia; Academic Performance,Low,True,13-17
P0122,Parent,35-44,Yes,False,Unsure,Insomnia; Academic Performance,Medium,True,13-17
P0123,Parent,35-44,Yes,True,No,None,High,True,13-17
P0124,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,False,13-17
P0125,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,True,9-12
P0126,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,True,13-17
P0127,Parent,45-54,Want to but struggle,True,No,Eating Disorders; Aggression,Medium,True,13-17
P0128,Parent,25-34,Want to but struggle,True,Unsure,Insomnia; Academic Performance; Eating Disorders,Low,True,13-17
P0129,Parent,35-44,Want to but struggle,True,No,Academic Performance; Eating Disorders,Medium,False,13-17
P0130,Parent,35-44,Yes,False,Unsure,None,Low,False,9-12
P0131,Parent,45-54,Yes,False,Unsure,Academic Performance,Medium,True,13-17
P0132,Parent,35-44,Yes,False,Unsure,Insomnia; Depression,Low,False,13-17
P0133,Parent,35-44,Yes,True,No,Academic Performance; Depression; Eating Disorders; Aggression,Medium,True,9-12
P0134,Parent,35-44,Yes,True,No,None,High,False,9-12
P0135,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,False,13-17
P0136,Parent,45-54,Yes,True,No,Depression,Medium,True,13-17
P0137,Parent,35-44,Want to but struggle,True,No,Depression,Low,False,13-17
P0138,Parent,45-54,Yes,True,No,Depression; Aggression,High,True,13-17
P0139,Parent,45-54,Yes,False,No,Depression,Low,False,9-12
P0140,Parent,45-54,No,False,No,Academic Performance,Low,True,13-17
P0141,Parent,35-44,No,True,No,Insomnia; Academic Performance; Eating Disorders,Low,True,9-12
P0142,Parent,45-54,Yes,True,Unsure,None,Medium,True,13-17
P0143,Parent,35-44,Yes,False,Unsure,Depression,Low,True,13-17
P0144,Parent,35-44,No,True,No,None,Low,True,13-17
P0145,Parent,45-54,Want to but struggle,True,No,Aggression,Medium,True,13-17
P0146,Parent,35-44,Yes,True,Unsure,None,Medium,False,13-17
P0147,Parent,35-44,Yes,True,No,Academic Performance,High,True,13-17
P0148,Parent,35-44,Yes,True,No,Insomnia,High,True,13-17
P0149,Parent,35-44,Yes,False,Unsure,None,Medium,True,9-12
P0150,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P0151,Parent,45-54,Yes,True,Unsure,Academic Performance,High,False,9-12
P0152,Parent,35-44,No,False,Unsure,Academic Performance; Aggression,Low,True,13-17
P0153,Parent,55+,Yes,True,Unsure,Eating Disorders,Medium,True,13-17
P0154,Parent,45-54,Yes,True,No,Insomnia; Academic Performance,Medium,False,9-12
P0155,Parent,35-44,Want to but struggle,False,No,None,Medium,False,9-12
P0156,Parent,45-54,Yes,True,Unsure,Academic Performance,Medium,False,9-12
P0157,Parent,35-44,Yes,False,No,None,Medium,False,13-17
P0158,Parent,35-44,Want to but struggle,True,No,None,Medium,True,13-17
P0159,Parent,35-44,Yes,False,No,None,Low,False,13-17
P0160,Parent,35-44,No,True,No,Insomnia; Academic Performance; Eating Disorders,Medium,True,13-17
P0161,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,13-17
P0162,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Eating Disorders,Low,True,13-17
P0163,Parent,35-44,Want to but struggle,True,Unsure,Depression,Low,False,13-17
P0164,Parent,35-44,Yes,False,Unsure,Insomnia; Eating Disorders; Aggression,Low,True,9-12
P0165,Parent,35-44,No,False,No,Eating Disorders,Low,True,13-17
P0166,Parent,35-44,Want to but struggle,True,Yes,None,Low,False,13-17
P0167,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Eating Disorders,Low,False,9-12
P0168,Parent,45-54,Want to but struggle,True,Unsure,Insomnia; Eating Disorders,Medium,False,13-17
P0169,Parent,35-44,Want to but struggle,True,Yes,Insomnia; Academic Performance; Depression; Eating Disorders,Low,True,9-12
P0170,Parent,35-44,Yes,True,No,Academic Performance; Depression,High,False,13-17
P0171,Parent,35-44,No,True,No,Academic Performance; Eating Disorders,Low,True,13-17
P0172,Parent,45-54,Yes,True,Unsure,None,High,False,13-17
P0173,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,False,9-12
P0174,Parent,55+,Want to but struggle,True,No,None,Medium,True,13-17
P0175,Parent,45-54,Yes,True,Unsure,Academic Performance,Medium,True,13-17
P0176,Parent,25-34,Yes,False,Unsure,Academic Performance; Depression,Medium,True,13-17
P0177,Parent,25-34,Yes,True,No,Academic Performance; Eating Disorders,Medium,True,9-12
P0178,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,False,9-12
P0179,Parent,35-44,Want to but struggle,False,No,Academic Performance,Medium,True,9-12
P0180,Parent,35-44,Yes,False,No,None,Low,True,9-12
P0181,Parent,35-44,Yes,False,No,Insomnia; Academic Performance; Depression,Medium,False,9-12
P0182,Parent,55+,Yes,False,No,Insomnia; Depression,Low,False,9-12
P0183,Parent,25-34,Want to but struggle,True,No,Depression,Low,False,13-17
P0184,Parent,35-44,Yes,True,No,Depression; Eating Disorders; Aggression,High,False,13-17
P0185,Parent,35-44,Yes,False,Unsure,Academic Performance,Low,True,9-12
P0186,Parent,35-44,Want to but struggle,False,No,Insomnia; Academic Performance,Low,False,13-17
P0187,Parent,25-34,Yes,True,No,None,High,True,9-12
P0188,Parent,45-54,Want to but struggle,False,Unsure,Eating Disorders,Medium,True,9-12
P0189,Parent,55+,Yes,True,No,None,Medium,True,9-12
P0190,Parent,35-44,Yes,False,No,Depression,Low,True,13-17
P0191,Parent,25-34,Yes,True,No,Depression,Medium,True,13-17
P0192,Parent,45-54,Yes,True,No,Eating Disorders,High,False,13-17
P0193,Parent,45-54,Yes,False,Unsure,Insomnia,Low,False,13-17
P0194,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,9-12
P0195,Parent,35-44,Yes,False,No,Depression; Eating Disorders,Low,True,13-17
P0196,Parent,35-44,Want to but struggle,False,No,None,Low,False,13-17
P0197,Parent,25-34,Want to but struggle,False,Unsure,Insomnia; Eating Disorders,Low,True,13-17
P0198,Parent,35-44,Want to but struggle,True,No,Insomnia,Medium,False,13-17
P0199,Parent,35-44,Want to but struggle,False,No,Academic Performance,Low,False,13-17
P0200,Parent,45-54,Want to but struggle,True,No,Insomnia; Depression,Low,True,13-17
P0201,Parent,45-54,Yes,True,Unsure,Academic Performance,Medium,True,9-12
P0202,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,False,9-12
P0203,Parent,35-44,Yes,False,No,Academic Performance,Medium,False,13-17
P0204,Parent,45-54,Yes,True,Unsure,Depression,Medium,True,13-17
P0205,Parent,35-44,No,False,No,Academic Performance; Aggression,Medium,True,13-17
P0206,Parent,45-54,Want to but struggle,True,Unsure,Eating Disorders,Low,False,13-17
P0207,Parent,35-44,Yes,False,No,Insomnia; Depression,Low,True,13-17
P0208,Parent,35-44,Yes,False,No,Depression,Medium,True,13-17
P0209,Parent,35-44,Yes,True,Unsure,Aggression,High,False,13-17
P0210,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,False,9-12
P0211,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance; Eating Disorders,High,True,13-17
P0212,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance; Depression,Low,True,13-17
P0213,Parent,35-44,Yes,True,No,Academic Performance; Depression,High,False,13-17
P0214,Parent,35-44,Yes,True,No,Insomnia,Medium,True,9-12
P0215,Parent,55+,No,True,Unsure,None,Low,True,13-17
P0216,Parent,35-44,Want to but struggle,True,Yes,Academic Performance,Low,True,13-17
P0217,Parent,35-44,Yes,True,Yes,Academic Performance,Medium,False,13-17
P0218,Parent,25-34,Want to but struggle,False,Unsure,None,Low,False,9-12
P0219,Parent,35-44,Want to but struggle,False,Unsure,Insomnia; Depression,Low,False,13-17
P0220,Parent,35-44,Want to but struggle,True,No,None,Low,False,9-12
P0221,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P0222,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P0223,Parent,35-44,Yes,False,Unsure,Academic Performance,Low,False,13-17
P0224,Parent,45-54,Want to but struggle,False,Unsure,None,Medium,True,13-17
P0225,Parent,45-54,Yes,True,No,Insomnia; Academic Performance,Medium,True,13-17
P0226,Parent,45-54,Yes,False,No,Depression,Low,False,13-17
P0227,Parent,45-54,Want to but struggle,True,No,Depression,Medium,False,9-12
P0228,Parent,25-34,Want to but struggle,True,No,Aggression,Low,False,9-12
P0229,Parent,45-54,Yes,True,No,Insomnia,High,False,13-17
P0230,Parent,35-44,Yes,True,No,None,Medium,True,9-12
P0231,Parent,35-44,Want to but struggle,False,No,Insomnia,Medium,False,13-17
P0232,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Depression,Medium,False,13-17
P0233,Parent,45-54,Yes,False,Unsure,Eating Disorders,Low,True,9-12
P0234,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,True,9-12
P0235,Parent,45-54,Yes,False,Yes,Insomnia,Low,False,13-17
P0236,Parent,45-54,Yes,True,No,Insomnia; Depression,Medium,True,13-17
P0237,Parent,35-44,Yes,True,Unsure,Eating Disorders,Medium,False,9-12
P0238,Parent,55+,Want to but struggle,True,Unsure,Academic Performance; Aggression,Low,False,13-17
P0239,Parent,45-54,Yes,False,No,Insomnia,Low,True,9-12
P0240,Parent,35-44,Yes,True,Unsure,Insomnia; Aggression,Medium,True,13-17
P0241,Parent,35-44,Yes,True,Unsure,Insomnia,High,False,13-17
P0242,Parent,45-54,Yes,True,Unsure,Eating Disorders,Medium,False,9-12
P0243,Parent,25-34,Yes,True,No,Insomnia; Eating Disorders; Aggression,Medium,True,13-17
P0244,Parent,45-54,Yes,False,Unsure,Depression,Medium,False,9-12
P0245,Parent,25-34,Yes,False,Unsure,None,Low,True,13-17
P0246,Parent,35-44,Want to but struggle,False,No,Insomnia; Depression,Medium,True,9-12
P0247,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,False,13-17
P0248,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Low,False,13-17
P0249,Parent,35-44,Yes,True,No,Insomnia,High,True,13-17
P0250,Parent,35-44,Yes,False,No,Academic Performance; Eating Disorders,Low,False,13-17
P0251,Parent,25-34,Want to but struggle,True,Unsure,None,Low,False,13-17
P0252,Parent,45-54,No,True,No,Insomnia; Aggression,Low,False,9-12
P0253,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Eating Disorders,Medium,False,13-17
P0254,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,False,13-17
P0255,Parent,45-54,Want to but struggle,True,Unsure,None,Medium,True,13-17
P0256,Parent,35-44,Yes,False,No,Insomnia; Academic Performance,Low,False,9-12
P0257,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Depression,Medium,True,13-17
P0258,Parent,45-54,Yes,False,Unsure,Insomnia; Academic Performance,Medium,False,9-12
P0259,Parent,35-44,Want to but struggle,False,Unsure,Insomnia,Low,False,13-17
P0260,Parent,25-34,Want to but struggle,True,No,Insomnia; Depression; Eating Disorders,Low,True,9-12
P0261,Parent,45-54,Yes,True,Unsure,Eating Disorders,Medium,False,13-17
P0262,Parent,45-54,Yes,True,No,Academic Performance; Eating Disorders; Aggression,Medium,False,13-17
P0263,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,False,13-17
P0264,Parent,35-44,Yes,True,Yes,None,Medium,True,13-17
P0265,Parent,45-54,Yes,True,No,Academic Performance,Medium,False,13-17
P0266,Parent,35-44,Yes,True,Unsure,Eating Disorders,High,False,13-17
P0267,Parent,45-54,Yes,False,Unsure,None,Low,True,9-12
P0268,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,False,13-17
P0269,Parent,35-44,Yes,False,No,Depression; Eating Disorders,Low,False,13-17
P0270,Parent,35-44,Want to but struggle,True,No,None,Low,False,13-17
P0271,Parent,45-54,Want to but struggle,True,No,Insomnia; Academic Performance; Depression; Eating Disorders,Low,True,9-12
P0272,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance,Medium,True,13-17
P0273,Parent,35-44,Want to but struggle,True,No,Depression,Low,True,13-17
P0274,Parent,45-54,Want to but struggle,True,No,Insomnia; Depression; Eating Disorders,Medium,True,13-17
P0275,Parent,35-44,Yes,False,No,Insomnia,Low,True,9-12
P0276,Parent,35-44,Want to but struggle,True,No,None,Medium,False,13-17
P0277,Parent,25-34,Want to but struggle,False,No,None,Low,True,13-17
P0278,Parent,35-44,Yes,False,No,Academic Performance,Medium,False,13-17
P0279,Parent,45-54,Yes,False,No,None,Low,False,9-12
P0280,Parent,25-34,Yes,True,No,Aggression,High,True,9-12
P0281,Parent,35-44,Want to but struggle,True,Yes,Depression,Low,False,9-12
P0282,Parent,35-44,Want to but struggle,True,No,Academic Performance; Eating Disorders,Low,False,13-17
P0283,Parent,35-44,Want to but struggle,True,Unsure,None,Low,False,13-17
P0284,Parent,35-44,Yes,False,No,Academic Performance,Medium,False,13-17
P0285,Parent,25-34,Yes,True,Unsure,None,Medium,True,13-17
P0286,Parent,35-44,Yes,True,No,Insomnia,Medium,False,13-17
P0287,Parent,35-44,Yes,True,Unsure,None,High,False,9-12
P0288,Parent,35-44,Yes,False,No,Academic Performance; Eating Disorders,Low,True,13-17
P0289,Parent,25-34,Yes,False,Unsure,Academic Performance,Low,True,13-17
P0290,Parent,45-54,Want to but struggle,False,Unsure,None,Medium,True,13-17
P0291,Parent,45-54,Yes,True,No,Eating Disorders,Medium,False,13-17
P0292,Parent,35-44,Yes,False,Unsure,None,Low,False,13-17
P0293,Parent,35-44,Want to but struggle,False,No,Academic Performance; Depression,Low,False,13-17
P0294,Parent,35-44,Want to but struggle,False,No,Insomnia; Academic Performance; Depression,Low,True,13-17
P0295,Parent,35-44,Yes,False,Unsure,Insomnia; Academic Performance,Low,False,9-12
P0296,Parent,45-54,Yes,True,No,Academic Performance,High,False,13-17
P0297,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P0298,Parent,35-44,Want to but struggle,True,No,Depression,Low,False,9-12
P0299,Parent,35-44,Want to but struggle,True,No,Depression; Eating Disorders,Low,True,9-12
P0300,Parent,25-34,Want to but struggle,True,No,None,Low,True,13-17
P0301,Parent,45-54,Yes,False,No,Insomnia; Depression,Low,False,13-17
P0302,Parent,35-44,Yes,False,No,None,Low,False,9-12
P0303,Parent,35-44,Want to but struggle,False,No,None,Low,False,13-17
P0304,Parent,25-34,Yes,True,No,Insomnia; Academic Performance,Medium,False,9-12
P0305,Parent,25-34,Yes,False,No,Academic Performance,Low,False,13-17
P0306,Parent,35-44,Yes,True,Unsure,Insomnia,High,True,9-12
P0307,Parent,35-44,Yes,False,Unsure,Eating Disorders,Low,True,13-17
P0308,Parent,45-54,Want to but struggle,True,No,Academic Performance,Low,False,9-12
P0309,Parent,35-44,No,False,No,None,Medium,True,13-17
P0310,Parent,55+,Yes,True,Unsure,Insomnia,Medium,True,13-17
P0311,Parent,35-44,Yes,True,Unsure,Academic Performance; Eating Disorders,High,True,9-12
P0312,Parent,35-44,No,False,No,Aggression,Medium,False,9-12
P0313,Parent,25-34,Yes,True,No,Insomnia; Eating Disorders,Medium,False,9-12
P0314,Parent,35-44,Yes,False,No,Insomnia; Academic Performance,Low,False,13-17
P0315,Parent,45-54,Want to but struggle,True,Unsure,None,Low,True,9-12
P0316,Parent,35-44,No,True,No,Academic Performance,Medium,False,9-12
P0317,Parent,35-44,Yes,False,Unsure,Insomnia; Depression,Low,True,9-12
P0318,Parent,35-44,Yes,False,No,None,Low,True,13-17
P0319,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,True,13-17
P0320,Parent,45-54,No,True,Unsure,Depression,Low,True,13-17
P0321,Parent,45-54,Want to but struggle,False,No,None,Low,False,13-17
P0322,Parent,35-44,Want to but struggle,True,No,Depression,Medium,True,13-17
P0323,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Low,False,9-12
P0324,Parent,45-54,No,True,Unsure,Insomnia; Depression,Medium,True,13-17
P0325,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,13-17
P0326,Parent,35-44,Yes,True,No,Insomnia; Aggression,Medium,True,13-17
P0327,Parent,35-44,Want to but struggle,True,Yes,Academic Performance; Eating Disorders,Medium,True,9-12
P0328,Parent,35-44,Yes,True,No,Insomnia,High,True,9-12
P0329,Parent,45-54,Yes,False,No,Academic Performance; Aggression,Medium,False,13-17
P0330,Parent,25-34,Want to but struggle,False,No,None,Low,True,13-17
P0331,Parent,25-34,Yes,False,Unsure,Insomnia,Low,True,13-17
P0332,Parent,25-34,Want to but struggle,True,No,None,Low,False,13-17
P0333,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Low,True,9-12
P0334,Parent,35-44,Want to but struggle,False,Unsure,None,Low,True,13-17
P0335,Parent,45-54,Want to but struggle,True,No,Depression,Low,False,13-17
P0336,Parent,35-44,Yes,True,Unsure,Academic Performance,Medium,True,13-17
P0337,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,13-17
P0338,Parent,35-44,Want to but struggle,True,No,Depression,Medium,False,9-12
P0339,Parent,35-44,Want to but struggle,False,No,Insomnia,Low,True,9-12
P0340,Parent,25-34,Want to but struggle,False,Unsure,None,Low,False,9-12
P0341,Parent,35-44,Yes,True,Unsure,Insomnia; Eating Disorders,Medium,False,13-17
P0342,Parent,45-54,Want to but struggle,True,No,Insomnia; Eating Disorders,Low,False,13-17
P0343,Parent,45-54,Want to but struggle,False,Unsure,Academic Performance; Depression; Eating Disorders,Low,False,13-17
P0344,Parent,35-44,Yes,True,No,Depression; Eating Disorders,Medium,False,9-12
P0345,Parent,35-44,Want to but struggle,True,Yes,Eating Disorders,Low,True,9-12
P0346,Parent,35-44,Yes,False,No,Depression,Medium,False,9-12
P0347,Parent,35-44,Want to but struggle,False,Unsure,None,Low,False,13-17
P0348,Parent,45-54,Yes,True,No,Insomnia; Academic Performance,Medium,True,13-17
